brca1_rate,low_delta,high_delta,neoplastic_div_rate,tp53_rate,d1_threshold,d2_threshold,division_rate,tumor_threshold,distance,weight,onset_age,sat25,sat50,sat90
0.046030716796275045,0.06455821412937718,0.27588561579193494,0.15162471618287157,0.002545105292203462,2.428488064114939,4.283736933368435,0.0011149595198351953,0.03699333815870295,11.16,0.004431082014228998,42.0,54.0,59.0,-1.0
0.0468037954722818,0.1652135426964918,0.31548637625845155,0.13446179008530845,0.003019078330427026,2.3951337687230034,6.480274718522906,0.0008523201712931664,0.06906687993004444,6.88,0.0038521362275579798,42.5,51.0,57.0,-1.0
0.03542859537687665,0.1134402436276398,0.3614713374122238,0.22701929974820842,0.0018415043967627764,1.6212028952289392,4.852562460435602,0.000991354468888918,0.051852809966628735,3.94,0.0034847291490462573,43.0,50.5,55.0,-1.0
0.0418684448193744,0.10541882245544011,0.4310176017875882,0.21960878174594556,0.002863621861567429,2.542412816057325,6.2379511915233525,0.0008894390408961141,0.029811438752831352,1.31,0.00444619960187172,45.0,53.0,58.0,-1.0
0.04044636905737385,0.16681262965518046,0.4344778688303445,0.20627534840074277,0.0020440156881445216,2.582793918591313,6.710217160704267,0.0008823586997261019,0.0697871457869882,15.61,0.004284089312529745,41.0,47.0,52.0,-1.0
0.05470157070328722,0.1226953027810569,0.24733068017290336,0.18904541023716626,0.0029420195925169645,1.985710846459869,5.036559946484465,0.0008170295886604675,0.06818655501398403,25.3,0.004111081052814949,40.0,46.0,50.0,-1.0
0.03197119967600964,0.1342248339035026,0.4290479247250444,0.23912474308621862,0.00180841967585971,1.6402653665965237,5.30109158929896,0.0010449995063408855,0.06637323486385793,2.63,0.004243173691626665,42.5,48.0,52.0,-1.0
0.040422274820813675,0.08137175398902058,0.46478958766486594,0.15033085542589103,0.002487671009162736,1.8509789548344315,4.360404947913825,0.0010551062801976664,0.025170029694384033,22.24,0.00447731990489963,40.0,53.0,57.5,-1.0
0.03023139085930497,0.13323287693638938,0.3987097020698901,0.13791646283449638,0.0017646385709313404,2.41914075375293,5.525643929688927,0.0013574410987032461,0.03916255538535949,9.74,0.0038504507552015563,44.0,56.0,61.0,-1.0
0.03533851569140128,0.08698816064957672,0.4263774800035889,0.11574257754514816,0.0025427736583823256,1.8760589545532464,4.099281506503784,0.0006384924789389204,0.06475747009549732,15.71,0.004566670346107309,44.0,54.0,61.0,-1.0
0.03206506207659713,0.15541309282879176,0.36232656674052754,0.12758976699324676,0.0019549259233528583,1.8139188251674794,3.9252304548840797,0.0005966379618277278,0.05861698131209091,6.12,0.004133770837399625,42.0,52.0,59.0,-1.0
0.03805543258109828,0.14282342076526225,0.19817104569099503,0.1782472976776295,0.0029366783901297,1.7267925167322877,6.211898452438075,0.0011063216847487425,0.05514697366089068,17.69,0.0029899894523309775,44.0,52.0,57.0,-1.0
0.04506485942822879,0.1132070693800862,0.19853058800209794,0.18242538847172624,0.0038039636221349686,2.8583301173077897,6.9783316382476075,0.00094346783175466,0.04101714215707064,24.12,0.005909933790032543,45.0,53.0,58.0,-1.0
0.029637270610629547,0.18247184336945085,0.5022734995357876,0.19625345145461806,0.0019403089982980952,2.1433936008025847,7.10802646781473,0.0007369853220044836,0.04326673490119022,1.52,0.004788283862076245,43.0,52.0,56.5,-1.0
0.0482014474250782,0.10558426771746093,0.15075053022665996,0.20999646585449527,0.0032625606546758247,2.431246750821611,5.741621350724468,0.0009516111646229087,0.060890482879339285,8.99,0.004658020316061028,42.0,48.5,53.0,-1.0
