seed,onset_year,final_neoplastic_pct,year_25pct,year_50pct,year_90pct
200417,-1,0.00,-1,-1,-1
200418,-1,0.00,-1,-1,-1
200419,39,54.39,51,59,-1
200420,38,51.39,48,54,-1
200421,42,54.17,51,57,-1
200422,66,50.00,74,79,-1
200423,63,41.18,77,-1,-1
200424,-1,0.00,-1,-1,-1
200425,34,54.05,46,53,-1
200426,-1,0.00,-1,-1,-1
200427,-1,0.00,-1,-1,-1
200428,53,52.00,61,69,-1
200429,46,52.63,57,64,-1
200430,-1,0.00,-1,-1,-1
200431,49,53.85,59,65,-1
200432,54,52.00,63,68,-1
200433,45,54.00,54,60,-1
200434,-1,0.00,-1,-1,-1
200435,-1,0.00,-1,-1,-1
200436,36,52.44,47,53,-1
200437,49,50.00,66,70,-1
200438,53,56.00,62,67,-1
200439,44,53.12,60,66,-1
200440,33,53.12,49,58,-1
200441,31,54.35,41,48,-1
200442,62,53.57,69,75,-1
200443,49,54.55,59,63,-1
200444,41,53.73,50,56,-1
200445,-1,0.00,-1,-1,-1
200446,-1,0.00,-1,-1,-1
200447,37,52.11,45,49,-1
200448,58,51.72,65,69,-1
200449,60,50.00,68,71,-1
200450,42,51.35,48,56,-1
200451,36,55.71,46,52,-1
200452,59,53.85,70,80,-1
200453,-1,0.00,-1,-1,-1
200454,56,50.00,72,80,-1
200455,41,50.00,54,61,-1
200456,-1,0.00,-1,-1,-1
200457,36,52.24,51,60,-1
200458,76,7.14,-1,-1,-1
200459,54,52.63,62,67,-1
200460,53,52.17,62,68,-1
200461,-1,0.00,-1,-1,-1
200462,41,50.00,56,64,-1
200463,35,51.28,47,51,-1
200464,31,52.14,41,47,-1
200465,72,8.33,-1,-1,-1
200466,37,53.09,47,52,-1
200467,31,50.83,39,43,-1
200468,36,50.00,44,50,-1
200469,37,53.12,47,52,-1
200470,37,55.42,45,51,-1
200471,38,51.85,46,51,-1
200472,43,50.88,51,58,-1
200473,48,50.00,61,67,-1
200474,37,54.24,45,50,-1
200475,-1,0.00,-1,-1,-1
200476,54,52.17,70,74,-1
200477,55,54.76,65,74,-1
200478,36,50.00,46,53,-1
200479,41,51.92,56,62,-1
200480,41,52.38,54,58,-1
200481,76,25.00,78,-1,-1
200482,-1,0.00,-1,-1,-1
200483,-1,0.00,-1,-1,-1
200484,56,51.28,63,68,-1
200485,50,50.00,60,67,-1
200486,-1,0.00,-1,-1,-1
200487,-1,0.00,-1,-1,-1
200488,-1,0.00,-1,-1,-1
200489,55,50.00,60,68,-1
200490,34,50.00,43,50,-1
200491,32,50.00,46,54,-1
200492,-1,0.00,-1,-1,-1
200493,-1,0.00,-1,-1,-1
200494,-1,0.00,-1,-1,-1
200495,33,51.14,43,49,-1
200496,-1,0.00,-1,-1,-1
200497,48,50.00,58,65,-1
200498,-1,0.00,-1,-1,-1
200499,54,50.00,61,68,-1
200500,34,51.09,43,47,-1
200501,37,52.83,45,51,-1
200502,66,36.84,76,-1,-1
200503,-1,0.00,-1,-1,-1
200504,42,52.05,53,57,-1
200505,38,53.52,49,54,-1
200506,-1,0.00,-1,-1,-1
200507,44,50.00,54,61,-1
200508,43,51.32,53,58,-1
200509,-1,0.00,-1,-1,-1
200510,-1,0.00,-1,-1,-1
200511,-1,0.00,-1,-1,-1
200512,33,52.33,45,52,-1
200513,-1,0.00,-1,-1,-1
200514,33,53.41,43,49,-1
200515,45,54.55,59,63,-1
200516,-1,0.00,-1,-1,-1
200517,-1,0.00,-1,-1,-1
200518,-1,0.00,-1,-1,-1
200519,47,51.67,56,60,-1
200520,-1,0.00,-1,-1,-1
200521,39,50.79,48,54,-1
200522,-1,0.00,-1,-1,-1
200523,46,51.28,56,61,-1
200524,36,50.65,48,54,-1
200525,59,55.00,73,79,-1
200526,28,53.00,39,44,-1
200527,-1,0.00,-1,-1,-1
200528,42,52.54,51,57,-1
200529,38,53.73,51,55,-1
200530,-1,0.00,-1,-1,-1
200531,29,51.38,38,44,-1
200532,44,51.28,53,59,-1
200533,28,52.31,39,46,-1
200534,30,52.13,41,47,-1
200535,27,54.37,38,45,-1
200536,-1,0.00,-1,-1,-1
200537,-1,0.00,-1,-1,-1
200538,-1,0.00,-1,-1,-1
200539,50,52.00,57,61,-1
200540,-1,0.00,-1,-1,-1
200541,42,50.00,51,57,-1
200542,42,51.16,57,63,-1
200543,-1,0.00,-1,-1,-1
200544,-1,0.00,-1,-1,-1
200545,30,51.90,38,44,-1
200546,42,50.00,56,61,-1
200547,41,52.56,55,61,-1
200548,-1,0.00,-1,-1,-1
200549,38,54.29,47,52,-1
200550,-1,0.00,-1,-1,-1
200551,52,53.33,62,68,-1
200552,36,51.28,49,55,-1
200553,-1,0.00,-1,-1,-1
200554,42,53.33,51,57,-1
200555,-1,0.00,-1,-1,-1
200556,31,51.81,41,47,-1
200557,48,54.76,61,67,-1
200558,37,54.10,48,57,-1
200559,42,50.67,50,55,-1
200560,70,15.38,-1,-1,-1
200561,-1,0.00,-1,-1,-1
200562,50,50.98,57,62,-1
200563,36,50.59,44,50,-1
200564,45,52.63,58,66,-1
200565,75,23.08,-1,-1,-1
200566,55,51.72,64,69,-1
200567,36,51.85,47,53,-1
200568,-1,0.00,-1,-1,-1
200569,-1,0.00,-1,-1,-1
200570,-1,0.00,-1,-1,-1
200571,-1,0.00,-1,-1,-1
200572,51,50.00,63,70,-1
200573,37,50.63,47,55,-1
200574,-1,0.00,-1,-1,-1
200575,54,52.63,64,68,-1
200576,55,53.12,69,74,-1
200577,39,50.00,52,59,-1
200578,54,50.00,72,80,-1
200579,-1,0.00,-1,-1,-1
200580,31,53.70,40,46,-1
200581,-1,0.00,-1,-1,-1
200582,45,50.00,54,61,-1
200583,47,51.06,56,62,-1
200584,32,51.92,41,47,-1
200585,-1,0.00,-1,-1,-1
200586,48,50.00,58,64,-1
200587,-1,0.00,-1,-1,-1
200588,-1,0.00,-1,-1,-1
200589,40,51.52,52,57,-1
200590,29,55.96,40,46,-1
200591,55,52.27,63,71,-1
200592,-1,0.00,-1,-1,-1
200593,41,54.35,50,55,-1
200594,-1,0.00,-1,-1,-1
200595,38,52.31,47,54,-1
200596,31,52.68,40,47,-1
200597,40,50.82,48,53,-1
200598,46,53.66,57,65,-1
200599,42,54.00,56,64,-1
200600,-1,0.00,-1,-1,-1
200601,62,50.00,73,80,-1
200602,48,50.00,57,61,-1
200603,47,50.94,55,62,-1
200604,27,50.37,38,44,-1
200605,-1,0.00,-1,-1,-1
200606,41,52.70,49,56,-1
200607,44,50.00,53,59,-1
200608,35,53.52,46,52,-1
200609,-1,0.00,-1,-1,-1
200610,44,51.22,57,64,-1
200611,45,51.11,55,62,-1
200612,47,50.00,55,62,-1
200613,36,50.00,50,57,-1
200614,53,50.00,63,66,-1
200615,-1,0.00,-1,-1,-1
200616,38,56.06,49,54,-1
200617,-1,0.00,-1,-1,-1
200618,34,52.86,43,50,-1
200619,61,48.28,71,-1,-1
200620,40,50.88,49,54,-1
200621,39,50.82,47,52,-1
200622,24,51.63,33,39,-1
200623,64,57.14,73,78,-1
200624,-1,0.00,-1,-1,-1
200625,-1,0.00,-1,-1,-1
200626,49,55.56,58,69,-1
200627,51,52.27,63,67,-1
200628,-1,0.00,-1,-1,-1
200629,-1,0.00,-1,-1,-1
200630,49,56.25,69,72,-1
200631,36,51.32,45,51,-1
200632,-1,0.00,-1,-1,-1
200633,-1,0.00,-1,-1,-1
200634,43,53.85,55,61,-1
200635,-1,0.00,-1,-1,-1
200636,50,51.67,59,65,-1
200637,53,51.72,72,80,-1
200638,55,50.00,67,74,-1
200639,47,50.00,54,60,-1
200640,44,52.50,52,60,-1
200641,36,54.05,47,55,-1
200642,-1,0.00,-1,-1,-1
200643,36,50.00,48,53,-1
200644,43,52.63,51,56,-1
200645,33,55.56,43,48,-1
200646,37,52.50,46,52,-1
200647,-1,0.00,-1,-1,-1
200648,43,50.00,50,56,-1
200649,39,52.17,45,50,-1
200650,43,54.05,55,63,-1
200651,-1,0.00,-1,-1,-1
200652,33,53.12,44,51,-1
200653,39,54.55,52,57,-1
200654,-1,0.00,-1,-1,-1
200655,-1,0.00,-1,-1,-1
200656,41,54.55,53,59,-1
200657,37,50.88,48,53,-1
200658,49,55.00,59,67,-1
200659,38,51.25,49,56,-1
200660,39,52.17,53,59,-1
200661,-1,0.00,-1,-1,-1
200662,61,52.63,73,79,-1
200663,-1,0.00,-1,-1,-1
200664,51,53.66,60,65,-1
200665,45,51.22,56,61,-1
200666,-1,0.00,-1,-1,-1
200667,52,53.49,64,70,-1
200668,57,50.00,67,73,-1
200669,-1,0.00,-1,-1,-1
200670,-1,0.00,-1,-1,-1
200671,42,50.00,51,57,-1
200672,39,53.57,49,54,-1
200673,-1,0.00,-1,-1,-1
200674,37,52.24,47,53,-1
200675,-1,0.00,-1,-1,-1
200676,34,53.57,44,50,-1
200677,52,53.85,60,67,-1
200678,46,53.73,55,61,-1
200679,-1,0.00,-1,-1,-1
200680,-1,0.00,-1,-1,-1
200681,-1,0.00,-1,-1,-1
200682,-1,0.00,-1,-1,-1
200683,39,54.17,48,53,-1
200684,-1,0.00,-1,-1,-1
200685,58,54.76,66,72,-1
200686,-1,0.00,-1,-1,-1
200687,50,52.63,62,69,-1
200688,36,54.55,46,52,-1
200689,-1,0.00,-1,-1,-1
200690,33,51.85,44,50,-1
200691,-1,0.00,-1,-1,-1
200692,30,50.00,40,47,-1
200693,48,51.61,56,65,-1
200694,-1,0.00,-1,-1,-1
200695,54,50.00,73,77,-1
200696,43,50.00,51,58,-1
200697,-1,0.00,-1,-1,-1
200698,64,41.67,75,-1,-1
200699,43,54.72,50,56,-1
200700,44,51.72,58,64,-1
