seed,onset_year,final_neoplastic_pct,year_25pct,year_50pct,year_90pct
100513,-1,0.00,-1,-1,-1
100514,32,50.37,42,47,-1
100515,43,50.57,54,58,-1
100516,32,50.89,41,47,-1
100517,-1,0.00,-1,-1,-1
100518,45,51.35,54,59,-1
100519,35,53.90,46,51,-1
100520,-1,0.00,-1,-1,-1
100521,-1,0.00,-1,-1,-1
100522,-1,0.00,-1,-1,-1
100523,-1,0.00,-1,-1,-1
100524,40,56.67,46,51,-1
100525,51,50.85,60,65,-1
100526,30,51.76,37,42,-1
100527,48,53.85,55,61,-1
100528,34,51.15,42,46,-1
100529,-1,0.00,-1,-1,-1
100530,-1,0.00,-1,-1,-1
100531,50,50.00,57,62,-1
100532,76,25.00,80,-1,-1
100533,58,55.88,62,68,-1
100534,42,52.94,53,58,-1
100535,-1,0.00,-1,-1,-1
100536,-1,0.00,-1,-1,-1
100537,37,50.56,44,48,-1
100538,43,51.65,55,60,-1
100539,44,51.90,54,59,-1
100540,76,27.27,79,-1,-1
100541,46,50.75,57,62,-1
100542,59,50.00,65,70,-1
100543,-1,0.00,-1,-1,-1
100544,-1,0.00,-1,-1,-1
100545,35,50.43,42,48,-1
100546,38,52.94,46,50,-1
100547,46,53.97,53,57,-1
100548,46,52.38,53,57,-1
100549,-1,0.00,-1,-1,-1
100550,-1,0.00,-1,-1,-1
100551,32,54.84,40,45,-1
100552,42,53.06,51,56,-1
100553,-1,0.00,-1,-1,-1
100554,36,51.06,44,49,-1
100555,34,55.71,42,48,-1
100556,-1,0.00,-1,-1,-1
100557,-1,0.00,-1,-1,-1
100558,-1,0.00,-1,-1,-1
100559,38,51.40,46,50,-1
100560,64,53.85,72,77,-1
100561,32,53.27,41,46,-1
100562,38,53.23,45,50,-1
100563,-1,0.00,-1,-1,-1
100564,-1,0.00,-1,-1,-1
100565,-1,0.00,-1,-1,-1
100566,-1,0.00,-1,-1,-1
100567,56,50.00,68,74,-1
100568,73,10.00,-1,-1,-1
100569,48,53.33,55,60,-1
100570,64,14.29,-1,-1,-1
100571,-1,0.00,-1,-1,-1
100572,-1,0.00,-1,-1,-1
100573,-1,0.00,-1,-1,-1
100574,-1,0.00,-1,-1,-1
100575,-1,0.00,-1,-1,-1
100576,66,51.85,73,76,-1
100577,-1,0.00,-1,-1,-1
100578,54,52.94,61,66,-1
100579,-1,0.00,-1,-1,-1
100580,46,50.77,53,58,-1
100581,-1,0.00,-1,-1,-1
100582,56,50.00,70,74,-1
100583,-1,0.00,-1,-1,-1
100584,49,50.00,55,59,-1
100585,-1,0.00,-1,-1,-1
100586,39,51.90,47,52,-1
100587,33,51.79,41,46,-1
100588,41,54.08,48,55,-1
