brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.038888,0.119402,0.554549,0.155925,0.00584650,4.1300,43.50,54.00,58.00,-1.00
0.041874,0.095533,0.343509,0.193723,0.00440410,4.3400,46.00,53.00,56.50,-1.00
0.052031,0.111942,0.375957,0.204187,0.00538377,4.0000,42.00,50.00,53.00,-1.00
0.048462,0.096649,0.190413,0.198190,0.00524280,2.8200,41.50,50.00,55.00,-1.00
0.044057,0.089281,0.528214,0.167087,0.00458963,3.6900,41.50,50.00,55.50,-1.00
0.042652,0.125997,0.227466,0.131303,0.00460041,4.2600,44.00,54.00,60.00,-1.00
0.042975,0.102389,0.177903,0.172165,0.00458027,3.6900,44.00,51.00,56.00,-1.00
0.040061,0.116160,0.296700,0.100675,0.00516578,5.3300,47.00,55.50,60.50,-1.00
0.042153,0.101509,0.287785,0.207010,0.00463853,4.7700,46.00,53.00,56.50,-1.00
0.041826,0.086676,0.358552,0.193186,0.00488193,5.3600,46.00,55.00,57.50,-1.00
0.041392,0.108904,0.464819,0.110184,0.00455324,2.7000,42.00,55.00,61.00,-1.00
0.040585,0.085429,0.280127,0.222851,0.00642065,6.1500,41.00,48.00,52.00,-1.00
0.049311,0.133150,0.256947,0.106011,0.00512950,5.6800,42.50,54.00,62.00,-1.00
0.047252,0.129725,0.355627,0.152776,0.00415595,5.2200,43.00,55.50,58.00,-1.00
0.044696,0.115234,0.514898,0.115184,0.00423899,5.0600,45.00,56.00,60.50,-1.00
0.046544,0.103116,0.339103,0.124655,0.00375883,6.1500,42.00,52.00,60.00,-1.00
0.044445,0.114636,0.511092,0.122164,0.00412266,4.5600,45.50,56.00,61.00,-1.00
0.045099,0.112676,0.311978,0.148082,0.00358467,4.1300,42.50,52.50,57.00,-1.00
0.040882,0.161271,0.268113,0.108440,0.01280693,4.4100,43.50,56.50,60.50,-1.00
0.050225,0.109905,0.308630,0.135465,0.00402525,4.3600,45.00,54.00,60.00,-1.00
0.042981,0.103087,0.425288,0.100352,0.00445449,3.4100,44.00,56.00,64.00,-1.00
0.047005,0.090100,0.591375,0.150807,0.00507360,5.0900,43.00,51.00,58.00,-1.00
0.043492,0.118901,0.347186,0.114695,0.00400630,5.5200,44.00,55.00,61.50,-1.00
0.041028,0.124628,0.187953,0.134171,0.00519677,3.0500,42.00,52.00,59.00,-1.00
0.049409,0.101618,0.530882,0.193092,0.00483511,4.2800,42.50,49.00,54.00,-1.00
0.049164,0.114773,0.434967,0.149913,0.00384885,5.7600,42.00,53.00,58.00,-1.00
0.043863,0.110041,0.247791,0.114226,0.00416512,2.0400,45.50,57.00,63.00,-1.00
0.041892,0.111421,0.213832,0.118294,0.00460669,4.7000,42.00,53.00,59.00,-1.00
0.042318,0.088550,0.221006,0.239564,0.00704565,5.1900,42.00,51.00,54.00,-1.00
0.042855,0.120268,0.438780,0.103350,0.00447107,3.2700,45.50,56.00,64.00,-1.00
0.040606,0.102463,0.351804,0.140137,0.00421712,4.4000,44.00,55.50,61.00,-1.00
0.043165,0.125099,0.369890,0.104994,0.00445088,4.6600,41.00,52.00,60.00,-1.00
0.044260,0.122731,0.264026,0.132804,0.00403858,5.3500,45.00,54.50,59.00,-1.00
0.048822,0.103137,0.473132,0.185883,0.00423843,5.7700,44.50,52.00,57.00,-1.00
0.045306,0.102992,0.326676,0.116519,0.00389392,2.9000,43.50,56.00,60.50,-1.00
0.050127,0.094656,0.276278,0.147761,0.00457565,4.0200,42.00,51.00,57.00,-1.00
0.048114,0.125465,0.223345,0.101503,0.00478188,4.5000,45.50,57.00,64.00,-1.00
